alcaldia,localidad,sexo,rango_edad,poblacion
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,j) 45 a 49 años,787
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,k) 50 a 54 años,749
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,l) 55 a 59 años,640
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,m) 60 a 64 años,467
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,n) 65 a 69 años,314
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,o) 70 a 74 años,199
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,p) 75 a 79 años,113
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,q) 80 a 84 años,58
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Hombre,r) 85 años y más,50
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,a) 0 a 4 años,942
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,b) 5 a 9 años,1098
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,c) 10 a 14 años,1067
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,d) 15 a 19 años,1025
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,e) 20 a 24 años,1156
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,f) 25 a 29 años,1112
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,g) 30 a 34 años,1096
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,h) 35 a 39 años,984
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,i) 40 a 44 años,975
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,j) 45 a 49 años,890
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,k) 50 a 54 años,907
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,l) 55 a 59 años,706
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,m) 60 a 64 años,542
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,n) 65 a 69 años,344
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,o) 70 a 74 años,254
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,p) 75 a 79 años,135
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,q) 80 a 84 años,97
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Mujer,r) 85 años y más,85
CUAJIMALPA DE MORELOS,La Venta,Hombre,a) 0 a 4 años,16
CUAJIMALPA DE MORELOS,La Venta,Hombre,b) 5 a 9 años,18
CUAJIMALPA DE MORELOS,La Venta,Hombre,c) 10 a 14 años,17
CUAJIMALPA DE MORELOS,La Venta,Hombre,d) 15 a 19 años,21
CUAJIMALPA DE MORELOS,La Venta,Hombre,e) 20 a 24 años,16
CUAJIMALPA DE MORELOS,La Venta,Hombre,f) 25 a 29 años,25
CUAJIMALPA DE MORELOS,La Venta,Hombre,g) 30 a 34 años,17
CUAJIMALPA DE MORELOS,La Venta,Hombre,h) 35 a 39 años,12
CUAJIMALPA DE MORELOS,La Venta,Hombre,i) 40 a 44 años,13
CUAJIMALPA DE MORELOS,La Venta,Hombre,j) 45 a 49 años,12
CUAJIMALPA DE MORELOS,La Venta,Hombre,k) 50 a 54 años,13
CUAJIMALPA DE MORELOS,La Venta,Hombre,l) 55 a 59 años,8
CUAJIMALPA DE MORELOS,La Venta,Hombre,m) 60 a 64 años,12
CUAJIMALPA DE MORELOS,La Venta,Hombre,n) 65 a 69 años,9
CUAJIMALPA DE MORELOS,La Venta,Hombre,o) 70 a 74 años,3
CUAJIMALPA DE MORELOS,La Venta,Hombre,p) 75 a 79 años,1
CUAJIMALPA DE MORELOS,La Venta,Hombre,q) 80 a 84 años,3
CUAJIMALPA DE MORELOS,La Venta,Hombre,r) 85 años y más,0
CUAJIMALPA DE MORELOS,La Venta,Mujer,a) 0 a 4 años,15
CUAJIMALPA DE MORELOS,La Venta,Mujer,b) 5 a 9 años,22
CUAJIMALPA DE MORELOS,La Venta,Mujer,c) 10 a 14 años,21
CUAJIMALPA DE MORELOS,La Venta,Mujer,d) 15 a 19 años,19
CUAJIMALPA DE MORELOS,La Venta,Mujer,e) 20 a 24 años,25
CUAJIMALPA DE MORELOS,La Venta,Mujer,f) 25 a 29 años,21
CUAJIMALPA DE MORELOS,La Venta,Mujer,g) 30 a 34 años,24
CUAJIMALPA DE MORELOS,La Venta,Mujer,h) 35 a 39 años,14
CUAJIMALPA DE MORELOS,La Venta,Mujer,i) 40 a 44 años,17
CUAJIMALPA DE MORELOS,La Venta,Mujer,j) 45 a 49 años,22
CUAJIMALPA DE MORELOS,La Venta,Mujer,k) 50 a 54 años,19
CUAJIMALPA DE MORELOS,La Venta,Mujer,l) 55 a 59 años,16
CUAJIMALPA DE MORELOS,La Venta,Mujer,m) 60 a 64 años,15
CUAJIMALPA DE MORELOS,La Venta,Mujer,n) 65 a 69 años,3
CUAJIMALPA DE MORELOS,La Venta,Mujer,o) 70 a 74 años,4
CUAJIMALPA DE MORELOS,La Venta,Mujer,p) 75 a 79 años,8
CUAJIMALPA DE MORELOS,La Venta,Mujer,q) 80 a 84 años,4
CUAJIMALPA DE MORELOS,La Venta,Mujer,r) 85 años y más,1
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,a) 0 a 4 años,49
